4.45,4.45,97.2
360,360,102
14 (Int.),14,85.3
29er,29,84.5
405 (Int.),405,89.9
420 (Int. or Club),420,97.6
470 (Int.),470,86.3
49er (Int.),49,68.2
505 (Int.),505,79.8
747 Cat Rig (SA=75),747,97.6
747 Sloop (SA=116),747SL,96.9
A Scow,A-SC,61.3
Akroyd,AKR,99.3
Albacore (15'),ALBA,90.3
Alpha,ALPH,110.4
Alpha One,ALPHO,89.5
Alpha Pro,ALPRO,97.3
American 14.6,AM-146,96.1
American 16,AM-16,103.6
American 17,AM-17,105.5
American 18,AM-18,102
Apache,APC,113.8
"""Apollo C/B (15'9"""")",APOL,92.4
Aqua Finn,AQFN,106.3
Arrow 15,ARO15,96.7
B14,B14,81
Balboa 13,BLB13,91.4
Bandit (Canadian),BNDT,98.2
Bandit 15,BND15,97.9
Bandit 17,BND17,97
Banshee,BNSH,93.7
Barnegat 17,BG-17,100.3
Barnegat Bay Sneakbox,B16F,110.6
Barracuda,BAR,102
Bat Mk 2,BAT-2,107
Bay Hustler,BHSL,95
BBC Scow (12' Custom),BBC-SC,104.4
BBC Sloop,BBC-SL,111.6
"""Beetle Cat (12'4"""" Cat Rig)",BEE-C,120.6
Blivit 13,BLV13,96
Blue Bird,BB,121.9
Blue Buoy (14'),BLBY,102.5
Blue Crab,BLCRB,110.8
Blue Jay,BJ,108.6
Bombardier 3.8,BOM3.8,104
Bombardier 4.8,BOM4.8,94.9
Bonito,BNTO,122.3
Boss w/spi,BOS,74.5
Buccaneer 18' spi (SWN18),BCN,86.9
Butterfly,BUT,108.3
Buzz,BUZ,80.5
Byte,BYTE,97.4
Byte CII,BYTE2,91.4
C Scow,C-SC,79.1
C-Lark,C-LK,96.7
Cadet (Int.),CADT,80
Canoe (Int.),I-CAN,79.1
Canoe 4 Mtr,4-CAN,121
Canoe 4 Mtr (ACA Cl.),4-CAN2,118.4
Canoe 5 Mtr,5-CAN,110.6
"""Canoe Ranger",RNG-C,115
"""Canoe Sailing (Grum.)",SACAN,144
Cape Dory 10,CD-10,135.2
Cape Dory 14,CD-14,125.4
Caprice,CPR,102.4
Catalina 13 (Capri),CAT13,92.1
Catalina 14.2 (Capri),CAT142,99.4
Catalina 14.2 Keel (Capri),CAT142K,100.5
Catalina 16.5 (Capri) no spi,CAT165,96.3
Catalina 8,CAT8,130
Catalina Expo 12.5,CAT125,102
Celebrity w/Genoa,CEL,90.2
Challenger 15,CHL15,91.7
Channel Sloop,CNLSL,92.1
Chatauqua 12,CQ-12,110.4
Checkmate,CHMTE,106
Chesapeake,CHES,90
Cheyenne,CHY,83.9
CL 14,CL14,101.2
CL 16,CL16,95.7
Club Junior,CFJ,102.5
Code 40,COD40,93.5
Comet,CM,91.7
Contender (Int.),CND,90.1
Copperhead,COHD,100.5
Coronado 15,COR15,91.9
Corsair Ten,CSR10,97.5
Cortez 14,CTZ14,98
Cottontail,COTL,104
Cyclone 13,CLN13,101
Cyclone 13 (SA=74),CLN132,96.9
D Scow,D-SC,82.7
Dabchick,DABCK,122.5
Dagger,DGER,94.9
Day Sailer (O'Day 17),DS,98.5
Defender (O'Day),DFD,99.5
Demon,DM,95.4
Designers Choice w/spi,DC,103.6
Dingue (Brazil),DNG,95
Discoverer 18,DCV18,101
Dolphin 17,DLP17,97.5
Dolphin Jr,DLPJR,116.9
Dolphin Sr,DLPSR,105.5
